spotify_track_id	track_name	artist_name	popularity	acousticness	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	valence
2lwi35A2ym3FAmSlvOGnQp	So Good At Being in Trouble	Unknown Mortal Orchestra	68	0.0363	0.829	230147.0	0.435	0.881	0.0	0.119	-10.136	1.0	0.0515	103.817	0.594
38RIEav39FGi86jppxO0du	Ignorantes	Bad Bunny	74	0.267	0.85	210607.0	0.536	3.89e-05	1.0	0.0996	-5.161	1.0	0.0599	96.029	0.505
6golelYKuy85o3u0cxIxFK	The Wire	HAIM	60	0.0127	0.547	245293.0	0.635	5.01e-06	2.0	0.0585	-5.569	1.0	0.137	113.678	0.525
4R8BJggjosTswLxtkw8V7P	No Me Conoce - Remix	Jhay Cortez	80	0.145	0.806	309120.0	0.786	0.0	10.0	0.0935	-3.831	0.0	0.0741	91.973	0.58
5kVZxyMY1gfdCLiChsfjn1	Yo No Soy Celoso	Bad Bunny	91	0.275	0.872	230704.0	0.588	0.0	0.0	0.17	-6.276	1.0	0.0492	142.004	0.93
5IXTT9RvcVupmzLTFqIInj	New York	St. Vincent	55	0.892	0.373	154960.0	0.449	1.26e-05	10.0	0.175	-11.646	1.0	0.144	137.866	0.327
7mWFF4gPADjTQjC97CgFVt	Baila Baila Baila - Remix	Ozuna	77	0.0598	0.785	235284.0	0.572	0.0	2.0	0.218	-7.504	1.0	0.123	100.016	0.49
4gzsuuZypVbxs0Af1LSZyB	Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)	Tainy	89	0.0889	0.639	207301.0	0.703	1.78e-06	4.0	0.0865	-6.33	0.0	0.0794	169.888	0.138
6hH6QJ9ZAO0Z6m7PfvLoXW	CHICKEN TERIYAKI	ROSALÍA	73	0.454	0.788	122227.0	0.4	0.000141	2.0	0.0686	-6.454	1.0	0.115	97.936	0.558
7rglLriMNBPAyuJOMGwi39	Cold Heart - PNAU Remix	Elton John	74	0.0354	0.795	202735.0	0.8	7.25e-05	1.0	0.0915	-6.32	1.0	0.0309	116.032	0.934
3PfIrDoz19wz7qK7tYeu62	Don't Start Now	Dua Lipa	82	0.0123	0.793	183290.0	0.793	0.0	11.0	0.0951	-4.521	0.0	0.083	123.95	0.679
3QxAadrRx8aSEVd6Qzr8KF	Saudade Vem Correndo	Stan Getz	50	0.946	0.634	219093.0	0.288	0.163	4.0	0.366	-16.798	1.0	0.0377	90.633	0.671
3o8tpXm59d9a8wulsGLZ3y	Bichota (Post-Punk)	FrioLento	51	0.0373	0.648	181059.0	0.647	0.869	11.0	0.166	-7.37	1.0	0.0939	170.109	0.538
0VBbbLKnpayQeBKZdYamhi	Barre con el Pelo (feat. Dj Blass)	Tomasa del Real	42	0.113	0.739	198875.0	0.895	0.000557	7.0	0.0971	-5.499	1.0	0.0519	92.995	0.785
10HQmG706HZtAhXRypWw01	Son Amores (That's Amore) (feat. Los Macorinos)	Natalia Lafourcade	49	0.954	0.504	224533.0	0.186	0.0307	5.0	0.106	-17.115	1.0	0.0331	147.005	0.344
1OUPXna2MCgAt3VNmXJBtg	Bola Rebola	Tropkillaz	66	0.22	0.834	193440.0	0.777	0.00609	5.0	0.335	-4.538	0.0	0.0593	129.984	0.865
3vgiIJW3iSQRRvgYiW86i9	Brillo	J Balvin	64	0.89	0.535	159573.0	0.384	0.0	9.0	0.0964	-10.049	0.0	0.362	145.947	0.767
4eFXaYD2is6c6Y645Qyyy1	Bilingue	Snow Tha Product	50	0.381	0.834	171000.0	0.642	0.000478	11.0	0.118	-6.172	1.0	0.291	160.089	0.648
5uVjUTstAPE3lhgjNSVGUB	Rakata	Wisin & Yandel	72	0.0348	0.872	172680.0	0.786	0.0	1.0	0.0776	-5.473	1.0	0.142	95.986	0.722
4AIatGjGyVipeEAzCMTqOg	Somebody Told Me	Måneskin	69	0.0231	0.614	161040.0	0.867	0.0	2.0	0.0821	-3.484	1.0	0.114	148.885	0.775
01GZjSSjSSpvTnDNdR8r3Y	Recovery	Måneskin	64	0.133	0.595	175747.0	0.751	0.0	0.0	0.317	-4.711	0.0	0.0601	109.493	0.837
1ABG6ke9SdUK9YayVafbcX	Le parole lontane	Måneskin	65	0.397	0.635	204933.0	0.573	0.0	2.0	0.133	-4.114	0.0	0.0279	125.946	0.403
1aX0Ki80LFzzhqxqRlqbAV	Morirò da Re	Måneskin	69	0.123	0.605	157880.0	0.881	0.0	10.0	0.038	-2.563	1.0	0.153	193.788	0.928
4pt5fDVTg5GhEvEtlz9dKk	I WANNA BE YOUR SLAVE	Måneskin	84	0.00165	0.75	173347.0	0.608	0.0	1.0	0.178	-4.008	1.0	0.0387	132.507	0.958
7t3fuKd5h73oppjIgkxZ25	Fear for Nobody	Måneskin	66	0.0184	0.821	150827.0	0.773	0.0	11.0	0.074	-3.631	0.0	0.0487	128.827	0.962
1ITV1k9laGrWUpagayejMQ	LIVIDI SUI GOMITI	Måneskin	64	0.00646	0.474	165787.0	0.95	0.000397	7.0	0.177	-2.762	1.0	0.0898	176.491	0.67
6Vfo6O3hk38vDcSpazNo3p	VENT'ANNI	Måneskin	67	0.18	0.635	253587.0	0.641	0.0	4.0	0.0959	-3.674	0.0	0.0329	122.83	0.218
2l7V3AuTxGuswKjGovaSEv	LA PAURA DEL BUIO	Måneskin	66	0.00537	0.376	209787.0	0.846	8.0e-06	7.0	0.186	-4.126	1.0	0.0464	96.176	0.408
36ONZ2CvV8KsLPapNPGTqa	L'altra dimensione	Måneskin	67	0.524	0.715	126707.0	0.839	0.0	5.0	0.266	-2.35	0.0	0.0602	111.371	0.539
3Wrjm47oTz2sjIgck11l5e	Beggin'	Måneskin	87	0.127	0.714	211560.0	0.8	0.0	11.0	0.359	-4.808	0.0	0.0504	134.002	0.589
1ojRut8t5RYNmLpJkEdJ3V	I WANNA BE YOUR SLAVE (with Iggy Pop)	Måneskin	61	0.00659	0.758	171901.0	0.669	0.0	1.0	0.0657	-3.838	1.0	0.0388	132.51	0.96
5HgZU8DoSWLvs1dWBvXYJt	Vengo dalla luna	Måneskin	65	0.149	0.79	184387.0	0.775	0.0	11.0	0.189	-5.042	1.0	0.0505	109.944	0.832
3590AAEoqH50z4UmhMIY85	Torna a casa	Måneskin	70	0.426	0.425	230667.0	0.638	0.0	1.0	0.177	-3.184	0.0	0.0759	81.396	0.45
7HMz8o0m7ASQ3ImFPfhWTY	CORALINE	Måneskin	74	0.0299	0.363	300413.0	0.678	0.0	2.0	0.324	-4.939	0.0	0.0995	162.124	0.321
776AftMmFFAWUIEAb3lHhw	ZITTI E BUONI	Måneskin	77	0.00138	0.625	194787.0	0.939	0.0	4.0	0.424	-3.115	0.0	0.0669	102.999	0.644
2lDgdWIGLYuk74pDeRPgPF	Chosen	Måneskin	68	0.00723	0.658	162013.0	0.892	0.0	6.0	0.0723	-2.928	0.0	0.036	107.944	0.919
78SCmQ8A7KQSMdkem2SwBP	MAMMAMIA	Måneskin	73	0.000615	0.767	186809.0	0.678	0.0	1.0	0.0952	-3.284	0.0	0.0686	142.06	0.791
3ZeyEvTgSlKajHc0fckgZT	FOR YOUR LOVE	Måneskin	68	4.39e-05	0.602	230707.0	0.898	0.000109	2.0	0.356	-3.789	0.0	0.0364	111.036	0.566
2Du09hJBFkE49xA4JqWvXS	Are You Ready?	Måneskin	64	0.0268	0.713	153947.0	0.873	0.0	5.0	0.108	-2.933	1.0	0.0545	103.019	0.522
6D2tOVX5MMl8jNVkwsFaWg	Let's Get It Started	Måneskin	67	0.167	0.831	146813.0	0.76	0.0	6.0	0.0871	-4.184	1.0	0.0807	113.969	0.865
0eV3PB3T0OxW4feG1DlOjQ	Hearts on Fire	HammerFall	65	0.000431	0.577	231387.0	0.901	3.59e-06	1.0	0.672	-5.981	1.0	0.0492	90.997	0.337
1osPuS16pkPbqchi1Cotnq	Dominion	HammerFall	42	0.00028	0.574	279728.0	0.917	8.14e-06	9.0	0.308	-5.389	1.0	0.0494	125.007	0.378
3hhg62H09CVqMWHTzKVBxW	Renegade	HammerFall	43	0.00157	0.544	261640.0	0.931	4.11e-06	8.0	0.147	-7.197	0.0	0.0604	105.032	0.398
4oHeZmCVEoiv8wPexQ1aqq	The Fallen One	HammerFall	44	0.528	0.653	263533.0	0.414	6.8e-05	4.0	0.319	-8.29	0.0	0.0259	102.977	0.293
60eeJAGM7X0Ly3JTRURAep	Legacy of Kings	HammerFall	34	1.28e-05	0.513	253413.0	0.991	0.0101	1.0	0.302	-6.454	0.0	0.0618	134.961	0.341
06OAtSr9Yof33xxJgjpDte	Crimson Thunder	HammerFall	46	0.000209	0.445	305120.0	0.777	1.07e-05	1.0	0.14	-6.011	1.0	0.0372	89.854	0.249
1Z45Falnkv2ikX8aoWGcIh	Glory to the Brave	HammerFall	51	0.045	0.469	440240.0	0.65	0.00111	2.0	0.231	-9.22	0.0	0.0344	123.929	0.221
4Q4x8wvy5ha98IVY2JZ3lH	In Memoriam	HammerFall	34	1.06e-05	0.204	261907.0	0.614	0.689	11.0	0.0508	-5.991	1.0	0.0363	130.464	0.13
