name	genre
ChocQuibTown	tropical
KAROL G	latin
KAROL G	reggaeton
KAROL G	reggaeton colombiano
Patrick Watson	NA
Joesef	indie soul
Joesef	uk alternative pop
The Mountain Goats	alternative rock
The Mountain Goats	anti-folk
The Mountain Goats	indie pop
The Mountain Goats	indie rock
The Mountain Goats	lo-fi
The Mountain Goats	melancholia
The Mountain Goats	new weird america
The Mountain Goats	stomp and holler
The Smiths	madchester
The Smiths	new wave
The Smiths	permanent wave
The Smiths	rock
The Smiths	uk post-punk
The Decemberists	alternative rock
The Decemberists	anti-folk
The Decemberists	baroque pop
The Decemberists	canadian indie
The Decemberists	chamber pop
The Decemberists	indie folk
The Decemberists	indie pop
The Decemberists	indie rock
The Decemberists	modern folk rock
The Decemberists	modern rock
The Decemberists	stomp and holler
Sublime	reggae fusion
Sublime	ska mexicano
Sublime	ska punk
Will Wood and the Tapeworms	new jersey indie
Will Wood	indie pop
Will Wood	weirdcore
Car Seat Headrest	alternative rock
Car Seat Headrest	indie rock
Pixies	alternative rock
Pixies	boston rock
Pixies	modern rock
Pixies	permanent wave
Pixies	rock
Rainbow Kitten Surprise	modern rock
John Craigie	deep new americana
John Craigie	indie folk
John Craigie	new americana
John Craigie	stomp and holler
John Craigie	western americana
Kendrick Lamar	conscious hip hop
Kendrick Lamar	hip hop
Kendrick Lamar	rap
Kendrick Lamar	west coast rap
Billie Holiday	adult standards
Billie Holiday	harlem renaissance
Billie Holiday	jazz
Billie Holiday	jazz blues
Billie Holiday	lounge
Billie Holiday	soul
Billie Holiday	torch song
Billie Holiday	vocal jazz
The Airborne Toxic Event	indie rock
The Airborne Toxic Event	la indie
The Airborne Toxic Event	metropopolis
The Airborne Toxic Event	modern alternative rock
The Airborne Toxic Event	modern rock
The Airborne Toxic Event	stomp and holler
The Spits	garage pop
The Spits	garage punk
The Spits	hardcore punk
The Spits	indie garage rock
The Spits	indie punk
The Spits	punk
The Spits	punk blues
Charlie Parker	bebop
Charlie Parker	big band
Charlie Parker	cool jazz
Charlie Parker	jazz
Charlie Parker	jazz fusion
Charlie Parker	jazz saxophone
The Velvet Underground	alternative rock
The Velvet Underground	art rock
The Velvet Underground	classic rock
The Velvet Underground	folk rock
The Velvet Underground	melancholia
The Velvet Underground	permanent wave
The Velvet Underground	protopunk
The Velvet Underground	psychedelic rock
The Velvet Underground	rock
The Yellow Dress	NA
The Strokes	alternative rock
The Strokes	garage rock
The Strokes	modern rock
The Strokes	permanent wave
The Strokes	rock
The Taxpayers	anti-folk
The Taxpayers	folk punk
The Taxpayers	portland punk
Arctic Monkeys	garage rock
Arctic Monkeys	permanent wave
Arctic Monkeys	rock
Arctic Monkeys	sheffield indie
Mother Mother	indie pop
Mother Mother	vancouver indie
John Vanderslice	gainesville indie
The Magnetic Fields	alternative rock
The Magnetic Fields	anti-folk
The Magnetic Fields	art pop
The Magnetic Fields	chamber pop
The Magnetic Fields	dream pop
The Magnetic Fields	indie pop
The Magnetic Fields	indie rock
The Magnetic Fields	lo-fi
The Magnetic Fields	melancholia
The Magnetic Fields	metropopolis
The Magnetic Fields	permanent wave
The Magnetic Fields	tape club
Anaïs Mitchell	folk
Anaïs Mitchell	indie folk
Anaïs Mitchell	indie pop
Anaïs Mitchell	new americana
The Protomen	nightrun
Belle and Sebastian	alternative rock
Belle and Sebastian	anti-folk
Belle and Sebastian	baroque pop
Belle and Sebastian	chamber pop
Belle and Sebastian	indie pop
Belle and Sebastian	indie rock
Belle and Sebastian	melancholia
Belle and Sebastian	scottish indie
Belle and Sebastian	scottish rock
Belle and Sebastian	twee pop
Mal Blum	anti-folk
Mal Blum	bubblegrunge
Mal Blum	folk punk
Mal Blum	indie pop
Mal Blum	indie punk
Simon & Garfunkel	classic rock
Simon & Garfunkel	folk
Simon & Garfunkel	folk rock
Simon & Garfunkel	melancholia
Simon & Garfunkel	mellow gold
Simon & Garfunkel	rock
Tim Minchin	australian comedy
Tim Minchin	comic
M. Ward	anti-folk
M. Ward	chamber pop
M. Ward	indie folk
M. Ward	indie pop
M. Ward	new americana
M. Ward	portland indie
M. Ward	stomp and holler
Måneskin	indie rock italiano
Måneskin	italian pop
Jack Kerouac	beat poetry
CAKE	alternative rock
CAKE	modern rock
CAKE	pop rock
CAKE	rock
CAKE	sacramento indie
Phil Ochs	american folk revival
Phil Ochs	folk
Phil Ochs	folk rock
Neutral Milk Hotel	alternative rock
Neutral Milk Hotel	anti-folk
Neutral Milk Hotel	chamber pop
Neutral Milk Hotel	elephant 6
Neutral Milk Hotel	indie pop
Neutral Milk Hotel	indie rock
Neutral Milk Hotel	lo-fi
Neutral Milk Hotel	modern rock
The Weakerthans	canadian indie
The Weakerthans	emo
The Weakerthans	folk punk
The Weakerthans	indie pop
The Weakerthans	indie rock
The Weakerthans	manitoba indie
The Weakerthans	stomp and holler
Squalloscope	vienna indie
Depeche Mode	dance rock
Depeche Mode	new romantic
Depeche Mode	new wave
Depeche Mode	permanent wave
Depeche Mode	synthpop
Sycamore Smith	michigan indie
Sarah Vaughan	adult standards
Sarah Vaughan	jazz
Sarah Vaughan	lounge
Sarah Vaughan	swing
Sarah Vaughan	torch song
Sarah Vaughan	vocal jazz
AJJ	acoustic punk
AJJ	anti-folk
AJJ	folk punk
AJJ	indie pop
Harvey Danger	alternative rock
Harvey Danger	pop rock
Hozier	irish singer-songwriter
Hozier	modern rock
Hozier	pop
Vampire Weekend	baroque pop
Vampire Weekend	indie rock
Vampire Weekend	modern rock
Perry Como	adult standards
Perry Como	brill building pop
Perry Como	easy listening
Perry Como	lounge
Perry Como	vocal jazz
Streetlight Manifesto	modern ska punk
Streetlight Manifesto	punk
Streetlight Manifesto	ska
Streetlight Manifesto	ska punk
Streetlight Manifesto	skate punk
John Cale	alternative rock
John Cale	art rock
John Cale	country rock
John Cale	experimental
John Cale	experimental rock
John Cale	folk
John Cale	folk rock
John Cale	melancholia
John Cale	post-punk
John Cale	singer-songwriter
Nirvana	alternative rock
Nirvana	grunge
Nirvana	permanent wave
Nirvana	rock
The Future Kings of Nowhere	folk punk
Polo & Pan	dark disco
Polo & Pan	electro-pop francais
Polo & Pan	french indietronica
Polo & Pan	new french touch
Lorde	art pop
Lorde	dance pop
Lorde	electropop
Lorde	metropopolis
Lorde	nz pop
Lorde	pop
Sylvan Esso	electropop
Sylvan Esso	etherpop
Sylvan Esso	indie pop
Elton John	glam rock
Elton John	mellow gold
Elton John	piano rock
Ariana Grande	dance pop
